City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Bengkulu,ID,-3.8004,102.2655,79.25,79,55,1.79,broken clouds
242,Kavaratti,IN,10.5669,72.642,80.56,83,98,19.46,overcast clouds
243,Fukue,JP,32.6881,128.8419,84.56,84,75,10.36,broken clouds
244,Bujaru,BR,-1.515,-48.0447,72.72,96,12,2.37,few clouds
245,Hereford,GB,52.0568,-2.7148,61.95,78,9,3.67,clear sky
246,Constantine,DZ,36.365,6.6147,69.21,64,0,2.3,clear sky
247,Karratha,AU,-20.7377,116.8463,71.11,28,0,14.45,clear sky
248,Inuvik,CA,68.3499,-133.7218,49.06,90,75,1.14,moderate rain
249,Ratnagiri,IN,16.9833,73.3,79.83,84,100,20.0,light rain
250,Poplar Bluff,US,36.757,-90.3929,80.49,83,20,0.0,few clouds
251,Muros,ES,42.7762,-9.0603,68.16,94,0,1.28,clear sky
252,Kargil,IN,34.5667,76.1,58.98,56,33,5.77,scattered clouds
253,Pitanga,BR,-24.7572,-51.7614,49.44,96,100,7.11,light rain
254,Svetlyy Yar,RU,48.4748,44.781,71.2,38,0,6.49,clear sky
255,Kem,RU,64.9555,34.5793,53.62,73,100,6.53,overcast clouds
256,Sechura,PE,-5.5569,-80.8222,63.3,81,29,15.1,scattered clouds
257,Lukovit,BG,43.2,24.1667,69.26,54,17,2.28,few clouds
258,Sokode,TG,8.9833,1.1333,70.07,96,99,1.99,overcast clouds
259,Marsa Matruh,EG,31.3525,27.2453,75.4,83,40,6.91,scattered clouds
260,Asekeyevo,RU,53.5742,52.7972,68.09,71,70,1.92,broken clouds
261,Yerbogachen,RU,61.2767,108.0108,61.11,66,100,3.44,overcast clouds
262,Solnechnyy,RU,50.7214,136.6319,69.58,54,94,10.25,overcast clouds
263,Zanjan,IR,36.6736,48.4787,59.34,84,20,6.6,few clouds
264,Uren,RU,57.4552,45.7852,59.77,98,64,4.36,broken clouds
265,Sibolga,ID,1.7427,98.7792,81.77,69,100,1.12,overcast clouds
266,Skelleftea,SE,64.7507,20.9528,60.01,100,100,5.75,light intensity drizzle
